,OrganizationName,OrganizationDescription
53,American Constitution Society for Law and Policy,To promote a living Constitution.
54,American Institute of Aeronautics and Astronautics,"The American Institute of Aeronautics and Astronautics is a student organization within the University of Florida that offers students the opportunity to enhance their education and experience through design teams, social activities, community service, tutoring and mentoring, speakers, company tours, regional council meetings, and national conferences and competitions. We aim to provide students with exposure to speakers – professors, student interns, and professionals from all facets of industry – and to connect students with research, scholarship, and internship opportunities so as to advance their careers to new levels."
55,American Institute of Architecture Students,"The purpose of AIAS is to promote excellence in architecture education, training, and practice, to foster an appreciation of architecture and related disciplines, to enrich communities in a spirit of collaboration, and to organize students and combine their efforts to advance the art and science of architecture."
56,American Institute of Chemical Engineers,"The University of Florida Chapter of the American Institute of Chemical Engineers also known as UF AIChE is a student-run, non-profit organization that strives to provide fellowship among chemical engineering students and also foster engineering skills and professional development for the continued advancement of ourselves, our University, our community, and our world."
57,American Marketing Association,"As a premier and professional organization within the prestigious Warrington College of Business, the University of Florida Collegiate Chapter of the American Marketing Association prides itself on the personal and professional development of its members. We strive to bridge the gap between classroom instruction and real-world business experience, by providing a medium for students to interact with professionals in the industry, develop tangible marketing skills, and engage with like-minded individuals in a creative atmosphere."
58,American Medical Association Medical Student Section,"AMA-MSS is dedicated to representing medical students, improving medical education, developing leaders, and promoting activism for the health of America. The purpose of AMA-MSS is to train medical students to be advocates for themselves and their future patients at the community, state, and national levels through education, community service, and leadership, and other opportunities made available by the AMA, FMA, and ACMS."
59,American Meteorological Society,"The purpose of AMS is to create an extracurricular engagement and networking space for students and faculty focused on meteorology. We connect students with opportunities and contacts on and off campus to help foster their interest and future paths in meteorology. Overall, we strive to make meteorology at UF exciting and engaging with social events and projects."
60,American Nuclear Society,"The objectives of the Section shall be consistent with the objectives of the Society as set forth in its Certificate of Incorporation and in Article B2 of its Bylaws and Rules, principally, ""the advancement of science and engineering relating to the atomic nucleus, and of allied sciences and arts."""
61,American Pharmacists Association - Academy of Student Pharmacists - Gainesville,"The American Pharmacists Association- Academy of Student Pharmacists (APhA-ASP) is the largest professional student pharmacy organization in the nation. APhA-ASP is the only organization representing all pharmacists and student pharmacists. The purpose of APhA-ASP is to be the collective voice of student pharmacists, to provide opportunities for professional growth, to improve patient care, and to envision and advance the future of pharmacy."
62,American Pharmacists Association - Academy of Student Pharmacists - Jacksonville,"The mission of APhA-ASP is to be the collective voice of student pharmacists, to provide opportunities for professional growth, to improve patient care and to envision and advance the future of pharmacy."
63,American Pharmacists Association - Academy of Student Pharmacists-Orlando Campus,"To be the collective voice of student pharmacists, to provide opportunities for professional growth, to improve patient care, and to envision and advance the future of pharmacy."
64,American Physician Scientists Association,The purpose of the undergraduate APSA Chapter at UF is to facilitate the career development of students who wish to train as physician-scientists or as other research-oriented health professionals.  Website: https://apsa-ufl.org/ Find all relevant links here: https://linktr.ee/UFAPSA
65,"American Society for Microbiology, Student Chapter","The American Society for Microbiology, UF Student Chapter is a student-run organization that offers undergraduate and graduate students an opportunity to more fully explore the microbiology field by offering ties to research, leadership opportunities, relevant outreach programs, trips to microbiology-related institutions, and connections with fellow peers and faculty members."
66,American Society of Biomechanics,"The purpose of the American Society of Biomechanics chapter is to foster the advancement, communication, and application of biomechanics to benefit society.

The objectives of the American Society of Biomechanics chapter shall be: 
1. To encourage and foster the exchange of information and ideas among biomechanists working in different disciplines across campus.
2. To provide comprehensive intellectual and professional development opportunities to students that contribute to the field of biomechanics.
3. To lead community outreach initiatives that expand the influence and impact of biomechanics on our society."
67,American Society of Civil Engineers,The American Society of Civil Engineers develops future leaders in civil and environmental engineering by promoting professionalism and technical development while providing a sense of community for students.
68,American Society of Consultant Pharmacists,The purpose of the American Society of Consultant Pharmacists is to further disseminate knowledge and information about the profession of consultant and senior care pharmacy and to play an integral part in carrying out the mission and specific goals of the national chapter of the American Society of Consultant Pharmacists.
69,American Society of Landscape Architects - Student Chapter,"Our mission is to create a supportive and inclusive community for future landscape architects and allied professionals who share a passion for design, sustainability, and social responsibility. As University student members of ASLA, we are stewards of the Land in Training. We seek to create an environment where students can find encouragement, support, and lifelong friendship.

We aim to provide opportunities for networking, collaboration, personal growth, and professional development to further empower our members as leaders and innovators. Through advocacy, education, and career development, we are committed to advancing the profession of landscape architecture and promoting the principles of our work. 

Feel free to contact the UF SCASLA executive committee via the UF SCASLA e-mail (uf.scasla@gmail.com) or via Instagram."
70,American Society of Mechanical Engineers,Prepare students for a career in engineering through professional development and hands-on experience.
71,American Student Dental Association,"The American Student Dental Association is a national student-run organization that protects and advances the rights, interests and welfare of dental students."
72,Amigurumi and Crafts Society,"The purpose of the organization is to create a vibrant community dedicated to amigurumi and other yarn arts. For both beginners and experts, we will provide opportunities to destress through crafting, learn new techniques, and foster community and camaraderie among other fiber artists. For beginners, we will provide a welcoming and supportive space while also ensuring accessibility to yarn arts by offering materials at meetings to those who wish to learn these new skills. We will host various events and meetings throughout the year to foster creativity and learning."
73,Animal Legal Defense Fund,"Our mission is to recognize and promote the welfare and rights of animals through legal advocacy. In the rapidly growing field of animal law, we seek to achieve our mission by educating the diverse student body about current animal law issues and providing them with the resources to create positive change. The Animal Legal Defense Fund - UF Law Student Chapter hosts meetings and events, invites leaders in the industry to speak, and partners with local animal-related organizations to provide student volunteer opportunities."
74,Animal Science Graduate Student Association,The objective of this organization shall be to coordinate graduate student activities and programs which further the professional and social development of the graduate students in the Department of Animal Sciences and related fields at the University of Florida.
75,Animation Club,"To educate all UF students on the animation industry and animation as an art form, to provide networking, job, learning, and other opportunities to all students, and bridge the gap between online and in-person students."
76,"Apollodorus Chapter of Alpha Rho Chi Fraternity, Inc.","Alpha Rho Chi (APX) is a national professional fraternity. The Apollodorus Chapter of Alpha Rho Chi is the only co-ed professional fraternity for architecture and the allied arts at the University of Florida. Our brotherhood unites all people for the purpose of fellowship, service,  and a mutual passion for professional development. This is exemplified by the fraternity’s motto: Fidelitas, Amor et Artes, “Fidelity and Love of the Arts.”

Our student and alumni brothers study and practice in many fields, including but not limited to architecture, interior design, engineering, construction management, landscape architecture, and many other related disciplines. Alpha Rho Chi is a charter member of the Professional Fraternity Association."
77,APPLIED ECONOMICS GRADUATE STUDENT ORGANIZATION,"The objectives of this organization shall be to help to bring together graduate students in Food and Resource Economics Department, encourage them to participate in social and academic events hosted by the GSO, and create a diverse environment for our members."
78,Aquatic Animal Health Club,The   Aquatic   Animal   Health   Club   is   a   student-run   organization   dedicated   to supplementing   University   of   Florida’s   College   of   Veterinary   Medicine   (UFCVM) curriculum   by   providing   educational   and   networking   opportunities   in   the   field   of aquatic   animal   medicine.
79,Arab Students' Association,"The Arab Students' Association (ASA) aims to build, unite, and empower the Arab community on campus through various cultural, social and, service events, and strives to provide an inclusive and welcoming  ""home away from home"" for all members. Furthermore, ASA seeks to promote, celebrate and raise awareness of Arab culture in order to eradicate stereotypes, and provide insight on the rich heritage of the Middle East and North Africa."
80,Arabic Debate,"The mission of Arabic Debate is to establish a dedicated forum for University of Florida students with a fervor for Arabic studies and debate, fostering the enhancement of their linguistic and public-speaking proficiency. Our objective is to afford students the chance to refine their communication skills, concurrently creating a platform where individuals from diverse cultural backgrounds can freely share ideas and opinions without fear of judgment. In pursuit of our aspirations, Arabic Debate endeavors to cultivate an inclusive environment that encourages intercultural and interpersonal communication among students. Arabic Debate also endeavors to send our top Arabic-language debaters to the national and/or regional competitions through Qatar Debate’s Annual Arabic Debate Championships."
81,Archery Club,"The purpose of Archery Club is to bring new athletic experiences to the University of Florida, to provide an excellent insight into the sport of archery, and to help students pursue these interests to a professional level if desired. Team building skills shall be learned and practiced while representing our team at a competitive level locally, regionally, nationally, and internationally."
82,Architrave,"Architrave is a student-run publication within the college of Design, Construction, and Planning that showcases the student work and student life by means of collecting guest lecture interviews, travel photos, student writings, and design work."
83,Argentine Student Association,"The purpose of ARSA is to accomplish the following:
A.	Promote the increased awareness of the shared culture between Argentineans and the rest of the Latin American nations.
B.	Educate the Student Body on the history and cultural richness of the Argentine nation.
C.	Support the regained cultural identity for Argentinean students and all interested students.
D.	Inspire future Argentinean and interested leaders.
E.	Unite all Latin nations behind common programming."
84,Argentine Tango Club,"Argentine Tango Club consists of students, faculty and staff from the University of Florida and community members from Gainesville. The purpose of the club is to provide a venue within the campus for learning, practicing, and enjoying the Argentine Tango. Our group is a non-profit student-run organization and we offer free lessons for UF students. We also perform at local dance shows and fund-raising activities."
85,Arnold Air Society-Silver Wings,"The purpose of the Dale E. Mabry Squadron of the Arnold Air Society-Silver Wings is to create a student organization that represents the Arnold Air Society-Silver Wings program at UF. Arnold Air Society-Silver Wings is a professional, honorary, service organization advocating the support of aerospace power, professional because of its mission to further develop future Air Force officers, honorary because of the high standards for membership, and service-oriented because of the contributions and assistance provided to the community, the campus, and officer commissioning programs. 
With this representation and the support of the Student Government, the organization will be able to operate and hold various events throughout the semester for our cadets to teach leadership skills, teamwork, and problem solving more effectively."
86,Art History Association,"""We are a club for anyone and everyone who is passionate about art, history, and art history. Our goal is to create a community for art lovers and provide opportunities for networking, making friends, and having fun."""
87,Artificial Intelligence and Data Analytics,"The purpose of this club is to foster an inclusive environment for like-minded people with an interest in Artificial Intelligence and Data Analytics in the Business atmosphere. Anyone who is willing to learn and participate is welcome to be a part of our organization. In this inclusive environment, we value respecting others, free-thinking, and passion. The goal of this club is to promote educational material with a preference in AI and data analytics trying to align with the University of Florida’s advances in Artificial Intelligence and Data Analytics by teaching and learning through presentations, workshops, and guest speakers. Through networking events, service projects, and bringing in local professionals, our organization emphasizes community and relationship-building."
88,Arts in Health,"The purpose of Arts in Health is to bring artistic skills to people around the world, to use those skills to enhance individual and community health, and to create opportunities for international and cultural exchange."
89,Asian American Student Union,"The Asian American Student Union seeks to promote Asian and Asian American Awareness at the University of Florida. We are dedicated to educating the campus about Asian American issues, history, and culture through creative and stimulating events. In addition, AASU strives to be the premier source or political and social advocacy. Lastly we intend to foster dedicated, educated and well-rounded members who apply their unique talents for the greater benefit of the global/social community."
90,Asian American Undergraduate Student Law Association,"AAUSLA exists to advance undergraduate pre-law students of Asian and Asian American heritage in education and employment so that they may achieve their full career potential. Our mission is to:
Prepare undergraduate pre-law students of Asian and Asian American heritage interest for success in law school and legal professions. 
Provide students with an array of materials and opportunities to enhance their understanding of the legal field. 
Promote diversity and tolerance on campus and in the workplace."
91,Asian and Pacific American Law Students Association,"APALSA was established to help create a support system for individuals of Asian and Pacific Islander descent who are interested in pursuing a legal career. APALSA hopes to attract and encourage students to attend UF Law through efforts of support, networking, and providing an informative database about the Gainesville area."
92,Asian Business Student Association,"The Asian Business Student Association is an Asian-interest, but not Asian-exclusive, business
organization that provides students with a community and tools to succeed at the University of Florida and beyond. Our mission is to empower and develop students professionally and personally in a supportive, and safe environment through networking, mentorship, public service, cultural involvement, and more!"
93,Asian Kaleidoscope Month,"The Asian Kaleidoscope Month exists to:
Celebrate the culture and history of Asian Americans
Program a month’s worth of events
Educate the Gainesville/University of Florida community and bring awareness to Asian American heritage
Asian Kaleidoscope Month is the collective creation of a month-long celebration of culture and history of the Asian American community. It is an affiliate of the Asian American Student Union."
94,Asian Public Relations Student Association,"The purpose of Asian Public Relations Student Association is to promote diverse experiences and voices within the UF College of Journalism and Communications by creating an inclusive, judgement-free zone to discuss the intersections of Asian-American culture and the public relations fields. Through this organization, we strive to create a community that empowers and strengthens the identity of our Asian, South Asian and Middle Eastern students, while giving them the resources to grow professionally in the public relations and communications industry."
95,Assemble Ballet Company,Assemblé Ballet Company is a student-run organization focused on improving ballet strength and technique. No audition or dress code required. All levels welcome. Come check us out!
96,Associated Builders and Contractors,The purpose of Associated Builders and Contractors is to promote academic and career related opportunities within the construction industry. The ABC student chapter provides our members with hands on speaker series events from industry professionals and access to network outside the classroom and within the industry.
97,Association for Computing Machinery,University of Florida’s largest Pre-Professional Computer Science Community
98,Association for Law and Business,"The ALB is the premier student organization for the advancement of business law study at Levin College of Law. Members share an interest in all areas of business law, including Commercial Litigation, Securities, Corporate, Bankruptcy, and Intellectual Property law. Through its relationship with the Business Law Section of the Florida Bar, the ALB brings law students, professors, and practicing attorneys together by offering distinguished guest speakers, social events, and research and publication opportunities to the student body. The ALB also provides guidance to its members in choosing business law as a curriculum and career."
